,Pc,Pt,mox,Mox,Vox,mf,Mf,Df,Gox,r,Dt,Pe,CF,cstr,of,F,I
0.48,2933310.343464396,4849774.616647556,3.527747629569793,1.5804155649267841,0.025145052153841798,0.5077506491395926,0.22653896110311164,0.1029427153113605,423.85410001434275,0.003191096167909169,0.0445,98662.46193780423,1.4878867640059057,1130.5007428743716,6.947794543829585,6736.374906282172,2990.353750715002
0.49,2932002.0725550465,4846644.921161047,3.526070831065858,1.6216846019967595,0.025096614316905207,0.5076299635332214,0.23245046109886422,0.10301699334896296,423.0419251843031,0.0031880373668689774,0.0445,98613.91189375285,1.4877988283728076,1130.5000785243058,6.94614314723387,6732.972500686922,3070.4987910264786
0.5,2930693.415991523,4843515.225674538,3.5243935901021817,1.6509369800732356,0.02506228053982014,0.5075092173709528,0.23669156017192308,0.10307024980986074,422.4038462470705,0.0031856321831130892,0.0445,98565.33671383909,1.487710767851104,1130.4994058497898,6.944490922049682,6729.568999744826,3125.0131970775847
0.51,2929384.379095184,4840385.530188029,3.5227159011347196,1.6921724723008376,0.02501388207476427,0.5073884102102909,0.24260064524258657,0.10314440571018063,421.59590369846336,0.003182584105150339,0.0445,98516.73672243439,1.4876225828357752,1130.4987285754278,6.942837862212035,6726.16441837417,3205.090167432378
0.52,2928074.96720815,4837255.834701519,3.5210377585892094,1.7213912965840032,0.024979587680065717,0.5072675416061191,0.2468393281713172,0.10319756612348928,420.96102819366297,0.0031801868973934146,0.0445,98468.1122435177,1.4875342737222705,1130.4980504498317,6.941183961619634,6722.758771537373,3259.5364818935145
0.53,2926765.185674483,4834126.13921501,3.519359156878449,1.7625932259374149,0.02493122860805467,0.5071466111119426,0.25274599586803687,0.1032716003137776,420.15728136927333,0.0031771494590114567,0.0445,98419.46360042934,1.4874458409060776,1130.4973752332146,6.9395292141518645,6719.352074195812,3339.5453393739112
0.54,2925455.0398205873,4830996.443728501,3.5176800904203493,1.7917784781724144,0.02489697361716852,0.5070256182811863,0.2569822601857675,0.1033246649972287,419.52558109268693,0.0031747601619259054,0.0445,98370.79111568579,1.4873572847824519,1130.4967066844122,6.937873613686554,6715.944341263587,3393.923519925462
0.55,2924144.5349348546,4827866.748241992,3.5160005536567396,1.832946826173505,0.024848653959890245,0.5069045626685501,0.2628865080240166,0.10339857790141,418.7259938215136,0.003171733280331413,0.0445,98322.09511084683,1.4872686057461926,1130.4960485473464,6.936217154118523,6712.5355875597925,3473.8642228089607
0.56,2922833.6762465127,4824737.0527554825,3.5143205410729648,1.8620984876594822,0.02481443839476586,0.5067834438314225,0.2671203512283902,0.10345154717013313,418.09744088075723,0.0031693518291852976,0.0445,98273.37590644298,1.487179804191559,1130.4954045369084,6.934559829378943,6709.125827759601,3528.1742283230033
0.5700000000000001,2921522.468903677,4821607.357268973,3.5126400472182504,1.9032332353861858,0.024766158174429353,0.5066622613313526,0.2730221766880699,0.10352533920883603,417.3019774085712,0.0031663354224151495,0.0445,98224.63382195696,1.4870908805122793,1130.494778324272,6.932901633455437,6705.715076343955,3608.0467360708353
